CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
3232,Existing Customer,51,F,2,Graduate,Married,$40K - $60K,Blue,41,5,1,2,3720.0,1845,2590.0,0.786,1221,27,0.428,0.336,5.507e-05,0.99994
3233,Existing Customer,46,F,2,College,Married,Unknown,Blue,39,4,2,3,11438.3,0,11438.3,0.713,1995,33,0.8,0.0,0.00019443,0.99981
3234,Existing Customer,39,M,3,Graduate,Single,$40K - $60K,Silver,18,4,1,3,17031.0,1890,14007.0,0.718,2612,55,0.602,0.107,8.685e-05,0.99991
3235,Attrited Customer,61,M,0,High School,Single,$120K +,Silver,48,5,4,4,34516.0,2418,32099.0,0.926,8451,73,0.692,0.06,0.99773,0.00226192
3236,Existing Customer,55,F,3,Unknown,Married,Unknown,Blue,39,3,1,2,1854.0,0,1854.0,0.916,5045,80,0.673,0.0,6.282e-05,0.99994
3237,Existing Customer,53,F,1,Post-Graduate,Married,Less than $40K,Blue,38,6,3,1,1492.0,929,716.0,0.717,4344,77,0.646,0.545,0.00011996,0.99988
3238,Attrited Customer,55,F,3,Graduate,Married,$40K - $60K,Blue,36,5,3,6,2835.0,1939,776.0,0.232,1818,38,0.459,0.731,0.99895,0.00105627
3239,Existing Customer,35,F,2,Uneducated,Single,Less than $40K,Blue,36,1,1,1,3529.0,1895,1737.0,0.864,4875,75,0.667,0.506,3.908e-05,0.99996
3240,Attrited Customer,45,M,3,Graduate,Divorced,$80K - $120K,Blue,36,3,2,3,19322.0,2517,15655.0,0.714,2199,35,0.354,0.106,0.99593,0.00306598
3241,Attrited Customer,58,M,1,College,Single,Unknown,Blue,50,1,5,4,7992.0,0,7994.0,0.631,1909,47,0.862,0.0,0.99814,0.00185371
3242,Existing Customer,50,M,1,High School,Single,$80K - $120K,Blue,39,4,2,2,9514.0,2136,7504.0,0.426,1210,33,0.372,0.288,0.00010386,0.9999
3243,Existing Customer,49,F,1,High School,Single,Unknown,Blue,32,3,3,3,2024.0,0,2241.0,0.555,5570,68,0.728,0.0,0.00027604,0.99972
3244,Existing Customer,47,F,5,Unknown,Married,Less than $40K,Blue,42,5,3,3,7238.0,0,6037.0,1.042,3494,63,0.784,0.0,0.00031209,0.99969
3245,Existing Customer,49,F,2,High School,Single,Less than $40K,Blue,49,5,1,3,7543.0,0,7357.0,0.555,3617,83,0.718,0.0,9.005e-05,0.99991
3246,Attrited Customer,42,M,3,Post-Graduate,Single,$120K +,Blue,36,2,2,3,8319.0,0,8004.0,0.436,1837,45,0.562,0.0,0.99694,0.00305106
3247,Existing Customer,47,F,4,Graduate,Unknown,Unknown,Blue,40,3,3,2,8839.0,865,7537.0,0.819,4695,96,0.761,0.08,0.00018864,0.99981
3248,Existing Customer,46,F,3,High School,Single,Unknown,Blue,34,5,1,3,3854.0,0,3802.0,0.74,4943,72,0.874,0.0,9.344e-05,0.99991
3249,Existing Customer,58,M,2,High School,Married,$120K +,Blue,39,3,2,3,14516.0,1446,13160.0,0.841,4158,69,0.683,0.137,0.00018612,0.99981
3250,Attrited Customer,47,M,3,Unknown,Married,$120K +,Silver,37,3,2,1,34516.0,1370,33201.0,0.401,1818,47,0.459,0.051,0.98636,0.01364
3251,Existing Customer,49,F,3,College,Married,Less than $40K,Blue,36,2,3,2,3657.0,2247,1500.0,0.592,4927,78,0.4,0.561,0.00018145,0.99982
3252,Existing Customer,53,M,0,Graduate,Married,$120K +,Blue,44,3,2,2,23406.0,2312,21079.0,0.416,1575,33,0.727,0.068,9.764e-05,0.9999
3253,Existing Customer,44,M,4,College,Married,$80K - $120K,Blue,38,2,2,3,23496.0,1862,21157.0,0.946,16259,120,0.635,0.081,0.00019519,0.9998
3254,Existing Customer,38,M,3,High School,Single,$120K +,Silver,21,4,2,2,34516.0,0,34516.0,0.618,14556,119,0.861,0.0,5.046e-05,0.99995
3255,Existing Customer,38,M,2,Uneducated,Married,$80K - $120K,Blue,29,4,3,3,10090.0,0,11091.0,0.839,16454,127,0.756,0.0,0.00081724,0.99978
3256,Existing Customer,43,M,4,Graduate,Married,$120K +,Blue,23,3,3,3,14228.0,1283,14301.0,0.87,4169,61,1.044,0.08,0.00030251,0.9997
3257,Existing Customer,49,M,1,Unknown,Single,$60K - $80K,Blue,48,3,4,4,5619.0,2052,3818.0,0.774,3071,60,0.667,0.382,0.00053583,0.99946
3258,Existing Customer,56,M,2,High School,Single,$60K - $80K,Blue,45,2,3,2,17795.0,1781,14029.0,0.524,7998,93,0.589,0.101,0.00017486,0.99983
3259,Existing Customer,37,F,2,Unknown,Divorced,Less than $40K,Blue,25,6,3,2,3015.0,0,3290.0,0.869,4103,69,0.545,0.0,0.00019191,0.99981
3260,Existing Customer,56,F,1,Unknown,Single,Less than $40K,Blue,36,5,1,0,9543.0,0,8560.0,0.626,4164,64,0.707,0.0,2.593e-05,0.99997
3261,Existing Customer,47,F,2,High School,Single,Less than $40K,Blue,31,2,3,1,2501.0,1051,1331.0,0.678,5065,85,0.872,0.338,0.00010545,0.99989
3262,Existing Customer,37,F,3,Graduate,Married,$40K - $60K,Blue,21,4,3,2,2620.0,1250,1326.0,0.808,4511,84,0.859,0.412,0.00018665,0.99981
3263,Existing Customer,44,F,5,Graduate,Single,Less than $40K,Blue,33,4,1,3,1896.0,1002,857.0,0.77,4898,71,0.872,0.542,9.497e-05,0.99991
3264,Existing Customer,47,F,3,Graduate,Single,Less than $40K,Blue,35,6,3,3,5228.0,0,5134.0,0.956,4131,68,0.929,0.0,0.0003139,0.99969
3265,Existing Customer,48,M,3,High School,Single,$40K - $60K,Blue,43,2,3,1,9370.0,2177,6823.0,0.922,12185,109,0.659,0.258,0.00011066,0.99989
3266,Existing Customer,43,F,3,High School,Unknown,Unknown,Blue,35,4,3,3,6173.0,1640,4829.0,0.853,4167,81,0.6,0.292,0.00030516,0.99969
3267,Attrited Customer,55,M,2,Unknown,Single,$80K - $120K,Blue,36,3,3,3,2852.0,1237,1972.0,1.034,2832,50,0.724,0.336,0.99711,0.00288892
3268,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,38,2,3,1,14929.0,1436,14244.0,0.881,8529,100,0.706,0.078,0.0001137,0.99989
3269,Attrited Customer,47,M,4,Uneducated,Divorced,$80K - $120K,Blue,36,4,3,1,11609.0,0,11451.0,0.554,1754,52,0.72,0.0,0.99184,0.00808
3270,Existing Customer,46,M,4,Uneducated,Married,$60K - $80K,Silver,30,4,2,2,16601.0,871,16574.0,0.557,16809,117,0.664,0.031,0.00011673,0.99988
3271,Attrited Customer,49,M,2,Unknown,Divorced,Less than $40K,Blue,40,3,3,4,1654.0,0,1751.0,0.737,2070,36,0.55,0.0,0.99831,0.00268757
3272,Existing Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41,3,3,2,21666.0,964,20451.0,0.673,1422,42,0.317,0.026,0.00017987,0.99982
3273,Attrited Customer,48,M,2,Post-Graduate,Single,$80K - $120K,Blue,44,5,1,3,8945.0,0,7825.0,1.043,7660,72,0.796,0.0,0.99283,0.01067
3274,Existing Customer,60,F,1,Uneducated,Single,Unknown,Blue,51,3,1,1,20434.0,1407,10259.0,0.741,3788,73,0.56,0.115,3.805e-05,0.99996
3275,Existing Customer,38,F,0,Graduate,Married,$40K - $60K,Blue,35,5,1,2,1458.0,1387,671.0,1.177,2137,66,0.5,0.675,3.86e-05,0.99996
3276,Existing Customer,47,M,4,Unknown,Single,Less than $40K,Silver,36,1,1,3,17595.0,1694,16037.0,0.781,13832,110,0.682,0.094,8.822e-05,0.99991
3277,Existing Customer,43,M,3,Unknown,Married,$60K - $80K,Blue,31,4,1,2,30751.0,1659,29321.0,0.659,16085,111,0.857,0.067,6.682e-05,0.99993
3278,Existing Customer,48,F,2,College,Divorced,Unknown,Blue,31,3,3,4,5709.0,0,5902.0,0.624,4266,75,0.689,0.0,0.00053657,0.99946
3279,Existing Customer,57,F,1,Graduate,Married,Less than $40K,Blue,36,4,4,1,3083.0,2417,666.0,0.743,4700,85,0.88,0.767,0.00012191,0.99988
3280,Existing Customer,50,M,2,Graduate,Married,$120K +,Silver,42,2,3,2,34516.0,0,34507.0,0.701,14371,119,0.877,0.0,0.00016891,0.99983
3281,Attrited Customer,50,M,4,Uneducated,Single,$120K +,Blue,30,4,4,3,33888.0,0,33517.0,0.792,8594,79,0.853,0.0,0.99791,0.00208723
3282,Existing Customer,56,M,4,Doctorate,Divorced,$80K - $120K,Blue,38,6,3,4,14788.0,1343,13325.0,0.964,4325,67,0.748,0.099,0.00078284,0.99922
3283,Existing Customer,44,F,1,Unknown,Single,Less than $40K,Blue,33,2,2,1,2008.0,1308,915.0,0.94,5301,79,0.755,0.577,3.403e-05,0.99997
3284,Existing Customer,33,M,2,Unknown,Single,$120K +,Gold,34,2,1,2,34516.0,315,33915.0,0.847,8074,105,0.688,0.012,6.441e-05,0.99994
3285,Existing Customer,61,M,0,Graduate,Married,$40K - $60K,Blue,56,3,2,2,3671.0,0,3879.0,0.995,1531,31,0.688,0.0,0.00010786,0.99989
3286,Existing Customer,52,F,3,Doctorate,Married,Less than $40K,Blue,43,2,1,3,4687.0,1133,3636.0,0.604,5319,79,0.766,0.396,0.00013571,0.99986
3287,Existing Customer,57,M,4,Uneducated,Married,$60K - $80K,Blue,52,5,2,2,2883.0,1255,1999.0,0.721,4169,71,0.795,0.426,0.00012527,0.99987
3288,Existing Customer,40,F,2,Graduate,Unknown,Unknown,Blue,29,4,2,3,11806.0,0,11560.0,0.887,4827,87,0.876,0.0,0.00019143,0.99981
3289,Existing Customer,47,F,3,Unknown,Unknown,$40K - $60K,Blue,36,6,3,3,6356.0,1866,4956.0,0.916,4216,60,0.715,0.373,0.00034543,0.99965
3290,Existing Customer,44,M,2,Unknown,Single,$60K - $80K,Blue,37,5,2,5,8088.0,990,7722.0,0.56,3731,67,0.657,0.143,0.00038097,0.99962
3291,Existing Customer,32,F,1,College,Single,Less than $40K,Blue,22,4,5,3,3741.0,2149,1262.0,0.651,2170,53,1.059,0.538,0.0003346,0.99967
3292,Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,43,1,1,2,2452.0,0,2429.0,0.476,4454,64,0.652,0.0,5.555e-05,0.99994
3293,Attrited Customer,39,M,3,Graduate,Unknown,$120K +,Blue,33,3,3,3,21648.0,0,20369.0,0.532,2730,46,0.546,0.0,0.99673,0.00326498
3294,Existing Customer,57,F,3,High School,Married,Less than $40K,Blue,49,4,3,2,2265.0,2057,492.0,0.895,1627,33,0.65,0.892,0.00018146,0.99982
3295,Existing Customer,37,F,4,High School,Married,Unknown,Blue,31,5,2,4,4359.0,1443,3402.0,0.742,2085,63,0.725,0.328,0.00033678,0.99966
3296,Existing Customer,50,F,3,College,Married,Less than $40K,Blue,41,6,1,1,1634.0,0,1733.0,0.742,4340,65,0.542,0.0,3.38e-05,0.99997
3297,Existing Customer,38,F,2,High School,Married,$40K - $60K,Blue,17,3,1,2,1853.0,1243,997.0,1.244,2628,61,1.432,0.549,5.354e-05,0.99995
3298,Existing Customer,29,M,1,Graduate,Divorced,$80K - $120K,Blue,20,4,2,3,14518.0,1532,12946.0,0.534,2590,94,0.644,0.113,0.00017969,0.99982
3299,Existing Customer,55,F,2,High School,Married,Less than $40K,Blue,37,4,1,2,2056.0,1227,1163.0,0.834,3420,68,0.865,0.513,5.005e-05,0.99995
3300,Existing Customer,47,M,3,Uneducated,Single,$40K - $60K,Blue,36,5,3,2,8306.0,585,7365.0,0.711,4212,78,0.897,0.08,0.00018164,0.99982
3301,Attrited Customer,45,F,4,Doctorate,Married,Unknown,Gold,36,5,3,1,34516.0,2517,32099.0,0.765,9117,64,0.882,0.071,0.99322,0.00678
3302,Existing Customer,51,M,2,Unknown,Divorced,$80K - $120K,Blue,36,5,3,3,11371.0,1168,9081.0,0.806,4685,71,0.981,0.14,0.00033251,0.99967
3303,Existing Customer,47,M,4,Graduate,Married,$60K - $80K,Silver,40,5,2,2,16785.0,1720,15350.0,0.711,4207,73,0.7,0.1,0.00011977,0.99988
3304,Existing Customer,39,M,2,Unknown,Married,$80K - $120K,Blue,36,5,2,2,31588.0,2517,30158.0,0.84,3150,65,0.785,0.079,0.00012511,0.99987
3305,Existing Customer,33,M,2,High School,Single,$120K +,Blue,20,1,2,3,13934.0,1255,13163.0,0.86,14960,117,0.636,0.127,0.00019263,0.99981
3306,Existing Customer,42,F,2,College,Married,Less than $40K,Silver,30,6,2,2,10880.0,0,10891.0,0.67,3097,67,0.871,0.0,0.00011985,0.99988
3307,Attrited Customer,36,F,1,Unknown,Married,Less than $40K,Blue,26,4,3,2,2500.0,0,2765.0,0.839,2518,44,0.545,0.0,0.9946,0.0052
3308,Existing Customer,67,M,1,High School,Single,$60K - $80K,Blue,36,5,1,2,2009.0,1434,438.0,0.556,1501,30,0.624,0.733,5.026e-05,0.99995
3309,Existing Customer,53,F,3,Graduate,Married,Less than $40K,Blue,40,4,2,2,2224.0,1570,723.0,0.756,4500,83,0.682,0.664,0.00011935,0.99988
3310,Existing Customer,36,M,1,Unknown,Married,$40K - $60K,Silver,33,4,1,2,10484.0,2146,8524.0,0.832,1344,35,0.55,0.174,7.897e-05,0.99992
3311,Existing Customer,47,F,2,Unknown,Married,$40K - $60K,Blue,45,4,3,2,3624.0,1307,2394.0,0.637,1267,35,0.512,0.389,0.00020082,0.0057
3312,Existing Customer,46,M,5,High School,Single,$120K +,Silver,39,2,2,3,34516.0,1670,32731.0,0.831,2679,90,0.479,0.058,0.00013432,0.99987
3313,Attrited Customer,55,M,1,Unknown,Divorced,$120K +,Blue,36,5,3,3,4543.0,0,4558.0,0.641,3655,51,0.842,0.0,0.99649,0.00350838
3314,Existing Customer,41,F,1,Uneducated,Married,Less than $40K,Blue,30,2,1,2,2993.0,1979,638.0,0.685,5165,73,0.551,0.791,5.663e-05,0.99994
3315,Existing Customer,57,F,4,Graduate,Single,$40K - $60K,Blue,42,4,2,2,2695.0,1977,345.0,0.704,1842,37,0.79,0.88,0.00011937,0.99988
3316,Attrited Customer,62,F,2,High School,Single,$40K - $60K,Blue,54,1,4,2,10009.0,0,10305.0,0.902,8058,76,0.941,0.0,0.99432,0.00668
3317,Existing Customer,31,M,3,Uneducated,Divorced,$80K - $120K,Blue,30,4,2,3,6621.0,1739,4241.0,1.249,1439,29,1.038,0.2,0.00019143,0.99981
3318,Existing Customer,54,F,2,Unknown,Married,Less than $40K,Blue,36,5,1,0,5810.0,1838,3538.0,0.578,3949,62,0.678,0.449,2.041e-05,0.99998
3319,Existing Customer,62,M,0,Uneducated,Married,$60K - $80K,Blue,51,6,1,3,20731.0,1077,20396.0,0.622,1969,45,0.365,0.109,8.527e-05,0.99991
3320,Existing Customer,46,F,2,Unknown,Single,Less than $40K,Blue,25,3,2,1,2828.0,2128,225.0,0.637,1953,59,0.959,0.891,7.357e-05,0.99993
3321,Existing Customer,50,F,4,Doctorate,Single,Less than $40K,Blue,34,1,3,2,1946.0,1548,535.0,0.898,8238,92,0.773,0.706,0.00025022,0.99975
3322,Existing Customer,52,M,3,Unknown,Single,$120K +,Blue,41,1,3,1,34516.0,0,34516.0,0.728,4719,73,0.716,0.0,0.00010542,0.99989
3323,Existing Customer,34,M,1,Graduate,Married,$120K +,Blue,36,4,1,2,10718.0,1911,7931.0,0.625,1999,35,1.512,0.175,5.105e-05,0.99995
3324,Existing Customer,49,M,3,Graduate,Single,$40K - $60K,Blue,42,5,4,2,2722.0,0,2322.0,0.788,4225,73,1.053,0.0,0.00021482,0.99979
3325,Existing Customer,61,M,0,Uneducated,Married,$40K - $60K,Blue,53,4,6,2,11611.0,2021,10101.0,0.495,3580,71,0.569,0.177,0.00013548,0.99986
3326,Existing Customer,55,F,2,Post-Graduate,Married,Less than $40K,Blue,38,1,1,1,5018.0,0,4094.0,0.72,4794,83,0.753,0.0,3.401e-05,0.99997
3327,Existing Customer,33,M,2,Uneducated,Married,$120K +,Blue,26,5,1,3,4246.0,2239,3821.0,0.717,5877,84,0.851,0.351,9.524e-05,0.9999
3328,Existing Customer,32,F,2,Graduate,Single,Unknown,Blue,20,6,1,4,5267.0,1790,3499.0,1.06,2455,56,0.506,0.342,0.00015382,0.99985
3329,Existing Customer,62,M,1,Unknown,Single,$60K - $80K,Blue,54,5,3,2,6765.0,2143,4583.0,0.721,4145,68,0.7,0.345,0.00018578,0.99981
3330,Existing Customer,37,F,1,Graduate,Single,Unknown,Blue,36,6,3,1,2420.0,1913,687.0,0.608,3695,71,0.671,0.754,0.00010848,0.99989
3331,Existing Customer,62,M,1,Graduate,Married,$80K - $120K,Blue,54,6,1,0,12267.0,1010,11454.0,0.551,1259,26,0.757,0.096,2.713e-05,0.99997
3332,Existing Customer,51,M,0,Graduate,Married,$60K - $80K,Gold,48,1,2,3,34516.0,724,33951.0,0.892,15231,124,0.847,0.019,0.00013098,0.99986
3333,Existing Customer,42,M,4,Unknown,Married,$60K - $80K,Blue,36,2,1,1,6777.0,858,6295.0,0.717,7496,87,0.554,0.134,3.986e-05,0.99996
3334,Existing Customer,50,F,3,High School,Married,Unknown,Blue,37,3,2,2,3308.0,0,4408.0,0.93,4317,79,0.974,0.0,0.00011382,0.99989
3335,Existing Customer,51,F,2,High School,Married,Unknown,Blue,41,4,1,4,13740.0,839,13609.0,0.596,3940,61,0.739,0.07,0.00015315,0.99985
3336,Existing Customer,51,M,2,High School,Unknown,$40K - $60K,Blue,45,4,2,2,4548.0,0,5553.0,0.82,7235,82,0.623,0.0,0.00010511,0.99989
3337,Existing Customer,54,F,2,Doctorate,Divorced,Unknown,Blue,43,4,1,3,8905.0,1517,16514.0,0.432,3913,69,0.515,0.101,4.683e-05,0.99995
3338,Existing Customer,50,M,2,Unknown,Married,$40K - $60K,Blue,36,6,2,1,1809.0,0,1664.0,0.88,4087,70,0.791,0.0,7.624e-05,0.99992
3339,Existing Customer,41,F,2,High School,Divorced,Less than $40K,Blue,35,3,1,2,2574.0,1164,1254.0,0.688,3896,63,0.76,0.482,5.354e-05,0.99995
3340,Existing Customer,32,F,1,Unknown,Single,Unknown,Blue,13,3,2,3,3604.0,1790,1379.0,0.883,2875,76,0.529,0.598,0.00018672,0.99981
3341,Existing Customer,42,F,2,College,Single,Less than $40K,Blue,35,3,2,4,8861.0,1624,7846.0,0.599,4734,77,0.636,0.12,0.00031749,0.99968
3342,Attrited Customer,49,F,3,Graduate,Single,Less than $40K,Blue,40,5,1,2,2161.0,2086,295.0,0.661,2627,43,0.533,0.837,0.98266,0.00734
3343,Existing Customer,29,F,1,Uneducated,Married,$40K - $60K,Blue,16,5,2,2,3538.0,0,3633.0,0.647,4805,80,0.763,0.0,9.395e-05,0.99991
3344,Existing Customer,38,F,2,Unknown,Married,$40K - $60K,Blue,22,2,3,3,4720.0,2401,2629.0,0.808,8010,87,0.775,0.424,0.00031291,0.99969
3345,Attrited Customer,52,F,1,Post-Graduate,Single,Less than $40K,Blue,43,4,3,2,4271.0,0,4486.0,0.701,1972,47,0.827,0.0,0.99432,0.00668
3346,Existing Customer,45,M,3,Unknown,Married,$80K - $120K,Blue,36,1,3,1,12119.0,1594,10178.0,0.884,3613,77,0.811,0.103,0.00012373,0.99988
3347,Existing Customer,45,M,3,Graduate,Unknown,$60K - $80K,Blue,32,4,1,3,6795.0,1216,6963.0,0.78,3330,67,0.519,0.113,9.268e-05,0.99991
3348,Attrited Customer,39,M,4,High School,Married,$120K +,Blue,34,1,3,2,3197.0,1568,1785.0,0.944,2969,51,0.321,0.527,0.99482,0.00518
3349,Existing Customer,51,F,3,Unknown,Single,Unknown,Blue,46,3,1,4,10268.0,1941,8500.0,0.803,3639,64,1.087,0.193,0.00018529,0.99981
3350,Existing Customer,48,M,4,Unknown,Married,$80K - $120K,Blue,36,5,1,1,18153.0,2024,16610.0,0.55,1442,20,0.923,0.108,3.34e-05,0.99997
3351,Existing Customer,39,F,0,Graduate,Divorced,Less than $40K,Blue,26,4,2,4,5641.0,1945,2046.0,0.618,4344,72,0.85,0.31,0.00029063,0.99971
3352,Existing Customer,36,M,3,High School,Single,$120K +,Blue,31,6,1,2,7433.0,0,7638.0,0.561,2719,61,0.648,0.0,5.725e-05,0.99994
3353,Existing Customer,44,M,3,Graduate,Single,$40K - $60K,Silver,35,3,1,2,10970.0,1845,18416.0,0.747,1382,26,0.614,0.131,5.124e-05,0.99995
3354,Existing Customer,41,F,3,Unknown,Married,Unknown,Blue,29,4,2,1,20025.0,0,20295.0,0.957,13044,102,0.885,0.0,4.925e-05,0.99995
3355,Existing Customer,57,F,4,Graduate,Married,Less than $40K,Blue,46,4,2,4,1716.0,748,1189.0,1.324,2697,49,0.782,0.499,0.00034546,0.99965
3356,Existing Customer,42,M,1,Uneducated,Single,$80K - $120K,Blue,27,1,3,1,34516.0,1469,32130.0,0.643,15582,110,0.862,0.058,0.00010424,0.9999
3357,Existing Customer,42,M,3,Graduate,Married,$60K - $80K,Blue,49,5,3,3,1786.0,1148,243.0,0.778,4448,82,0.809,0.765,0.0003139,0.99969
3358,Existing Customer,43,M,4,Unknown,Married,$80K - $120K,Blue,36,6,3,3,12519.0,1865,10666.0,0.823,3519,69,0.871,0.118,0.00023575,0.99976
3359,Existing Customer,46,F,4,High School,Divorced,Unknown,Blue,27,4,2,2,2095.0,1543,675.0,0.836,4042,72,0.421,0.66,0.00011604,0.99988
3360,Existing Customer,40,F,3,College,Married,Less than $40K,Blue,37,6,3,1,2409.0,2153,383.0,0.879,1416,25,0.705,0.907,0.00010949,0.99989
3361,Existing Customer,64,M,2,Graduate,Married,$40K - $60K,Blue,36,2,2,1,2473.0,1687,957.0,0.951,953,29,0.326,0.625,7.027e-05,0.99993
3362,Existing Customer,47,F,3,Graduate,Married,Unknown,Blue,44,4,3,3,1571.0,0,1576.0,0.81,4261,66,0.824,0.0,0.00031256,0.99969
3363,Existing Customer,52,M,3,Unknown,Single,$40K - $60K,Blue,42,3,3,2,1650.0,1537,579.0,0.637,4475,88,0.65,0.76,0.00012536,0.99987
3364,Existing Customer,60,M,1,Unknown,Married,$60K - $80K,Blue,48,3,1,2,2416.0,1587,949.0,0.836,4588,78,0.543,0.628,5.856e-05,0.99994
3365,Attrited Customer,62,F,0,Uneducated,Unknown,Less than $40K,Blue,48,4,6,3,3053.0,0,2173.0,1.073,2368,42,0.738,0.0,0.99582,0.00311246
3366,Existing Customer,43,M,2,Graduate,Married,Less than $40K,Blue,34,3,3,2,3985.0,2073,1169.0,0.798,4949,89,0.706,0.688,0.00017687,0.99982
3367,Existing Customer,51,M,0,High School,Married,$60K - $80K,Blue,41,3,2,1,6739.0,0,6734.0,0.579,3713,63,1.055,0.0,5.199e-05,0.99995
3368,Existing Customer,38,M,1,Unknown,Single,$40K - $60K,Blue,36,3,3,4,16892.0,1045,15837.0,0.681,4524,74,0.616,0.064,0.00053713,0.99946
3369,Attrited Customer,53,F,2,Uneducated,Married,Less than $40K,Blue,46,6,4,3,3014.0,2234,830.0,0.758,2137,43,1.048,0.775,0.99798,0.00201927
3370,Existing Customer,40,F,4,Uneducated,Divorced,Less than $40K,Blue,26,4,3,2,4514.0,1378,3767.0,0.791,1666,31,0.87,0.227,0.00019967,0.9998
3371,Attrited Customer,47,M,3,College,Single,$80K - $120K,Blue,40,5,3,2,16273.0,0,26050.0,0.421,2319,31,0.822,0.0,0.99452,0.00548
3372,Attrited Customer,37,F,2,College,Divorced,$40K - $60K,Blue,25,5,2,3,2182.0,2517,592.0,0.721,1846,44,0.538,0.787,0.99467,0.00533
3373,Attrited Customer,43,F,4,High School,Unknown,$40K - $60K,Blue,33,2,2,2,2923.0,0,2858.0,0.624,2218,39,0.525,0.0,0.99118,0.00882
3374,Existing Customer,36,F,3,High School,Single,Less than $40K,Blue,15,4,3,3,2785.0,2517,318.0,1.045,5171,84,0.659,0.869,0.00032112,0.99968
3375,Existing Customer,33,F,1,Graduate,Married,Less than $40K,Blue,23,3,1,4,2150.0,1601,432.0,0.643,1109,40,0.38,0.837,0.00014863,0.99985
3376,Existing Customer,35,F,2,Unknown,Married,Unknown,Blue,36,6,1,3,6749.0,1399,4353.0,1.27,2622,50,1.619,0.243,9.253e-05,0.99991
3377,Existing Customer,29,F,0,Post-Graduate,Married,Less than $40K,Blue,16,4,3,4,2698.0,1749,398.0,0.361,1882,57,0.371,0.859,0.00053168,0.99956
3378,Existing Customer,45,M,2,High School,Single,Less than $40K,Blue,36,5,3,3,1918.0,0,1813.0,0.753,3688,66,0.82,0.0,0.00029008,0.99971
3379,Attrited Customer,56,M,3,Graduate,Divorced,$40K - $60K,Blue,45,1,2,1,3543.0,1961,1426.0,0.746,7977,99,0.672,0.578,0.99129,0.00871
3380,Existing Customer,56,M,2,Unknown,Married,$120K +,Blue,41,3,1,4,30704.0,2335,28818.0,0.502,2367,47,0.536,0.06,0.00017098,0.99983
3381,Existing Customer,38,M,4,Graduate,Single,$120K +,Blue,22,5,3,3,34516.0,0,34516.0,0.706,2030,66,0.515,0.0,0.00030728,0.99969
3382,Existing Customer,38,M,1,High School,Married,$40K - $60K,Gold,18,1,2,5,23461.0,1346,22112.0,0.838,15331,26,0.785,0.055,0.00060083,0.9993
3383,Existing Customer,45,M,2,Graduate,Single,$60K - $80K,Blue,37,2,3,3,12695.0,863,11177.0,0.851,8881,85,0.579,0.062,0.00030251,0.9997
3384,Existing Customer,37,F,1,Graduate,Married,$40K - $60K,Blue,36,3,1,2,10969.0,897,9791.0,1.09,1897,41,0.815,0.065,5.115e-05,0.99995
3385,Existing Customer,53,F,1,High School,Married,Less than $40K,Blue,38,2,1,1,2475.0,0,2441.0,0.683,4297,68,0.659,0.0,3.346e-05,0.99997
3386,Existing Customer,42,M,3,Graduate,Single,$40K - $60K,Silver,34,4,6,2,15947.0,2223,13925.0,0.993,4892,65,0.549,0.13,0.00014875,0.99985
3387,Existing Customer,47,M,5,College,Married,$120K +,Blue,43,4,3,3,18649.0,1258,16176.0,0.792,15243,123,0.699,0.066,0.00031251,0.99969
3388,Existing Customer,33,F,3,Graduate,Single,Unknown,Blue,28,3,1,3,8995.0,1237,7177.0,0.981,4560,82,0.841,0.123,9.612e-05,0.9999
3389,Existing Customer,33,F,2,Uneducated,Divorced,Unknown,Blue,29,3,3,3,11434.0,0,11462.0,0.524,1689,64,0.862,0.0,0.00025601,0.99974
3390,Existing Customer,27,F,0,Graduate,Single,$40K - $60K,Blue,19,6,3,4,6142.0,0,7122.0,0.67,2012,49,0.4,0.0,0.00043642,0.99956
3391,Existing Customer,49,M,2,College,Single,$40K - $60K,Blue,41,5,1,0,2074.0,1111,765.0,0.486,3794,80,0.675,0.668,3.016e-05,0.99997
3392,Existing Customer,48,F,3,Unknown,Married,Less than $40K,Blue,43,6,2,3,2879.0,2010,424.0,0.673,4111,70,0.772,0.865,0.00021834,0.99978
3393,Attrited Customer,47,F,4,Doctorate,Divorced,Less than $40K,Blue,31,6,3,2,1438.3,625,619.0,0.911,2943,49,0.44,0.551,0.99475,0.00525
3394,Attrited Customer,54,F,3,College,Married,$40K - $60K,Blue,40,5,3,4,3992.0,2317,2644.0,0.826,2256,44,0.46,0.537,0.99816,0.00184351
